naziv proizvoda	šifra proizvoda	marka proizvoda	neto količina(KG)	jedinica mjere	maloprod.cijena(EUR)	akc.cijena, A=akcija	kol.jed.mj.	jed.mj. (1 KOM/L/KG)	cijena jed.mj.(EUR)	MPC poseb.oblik prod	Najniža MPC u 30dana	Sidrena cijena	barkod	WG
Jana Ledeni čaj brusni.šums.voće0,5l PET	00010991	Jana	0.500	KOM	       1,19		1	L	2,18			MPC 2.5.2025=1,19€	3858884601731	PIĆE
Juicy Fruits multivitamin ACE 0,5 l PET	00010994	Juicy Fruits	0.500	KOM	       1,19		1	L	2,18			MPC 2.5.2025=1,02€	3858890975031	PIĆE
Juicy Fruits crvena naranča 0,5 l PET	00010995	Juicy Fruits	0.500	KOM	       1,19		1	L	2,18			MPC 2.5.2025=1,02€	3858890975093	PIĆE
Juicy Fruits naranča nektarina 0,5 l PET	00010997	Juicy Fruits	0.500	KOM	       1,19		1	L	2,18			MPC 2.5.2025=1,02€	3858890975154	PIĆE
Juicy Fruits limunada 0,5 l PET	00010998	Juicy Fruits	0.500	KOM	       1,19		1	L	2,18			MPC 2.5.2025=1,02€	3858890975215	PIĆE
Juicy 100% jabuka 1 l brick	00010999	Juicy	1	KOM	       2,29		1.000					MPC 2.5.2025=2,29€	3858890970210	PIĆE
Hanuta Vafel čokol.s lješnjakom 2/1 44g	00011018	Hanuta	0.044	KOM	       1,09		1.000					MPC 15.5.2025=0,99€	8000500273555	HRANA
Banjalučki ćevapi	00011050	#	1	KG	       9,99		1.000					MPC 2.5.2025=8,39€	2801857000000	HRANA
Rondo C bomboni xxl 61,5g	00011057	Rondo C	0.062	KOM	       1,69		1	KG	27,7			MPC 2.5.2025=1,45€	3850322008331	HRANA
KLC.Zaslađivač tekući 300 ml	00011146	K-Classic	0.300	KOM	       1,29		1	L	 4,3			MPC 2.5.2025=1,29€	4337185579370	HRANA
Fri-Fri trajni kolač 220 g	00011387	Klara	0.220	KOM	       2,45		1	KG	11,14			MPC 2.5.2025=2,59€	3858881320833	HRANA
Dukatela Original maxi 25% mm 250 g	00011417	Dukatela	0.250	KOM	       2,79		1	KG	11,16			MPC 2.5.2025=2,39€	3850354015031	HRANA
Monari Federzoni Balzamičan ocat 1l	00011484	Monari Federzoni	1	KOM	       3,28	A	1.000			       3,28	4,69	MPC 2.5.2025=4,69€	8003185000027	HRANA
Afrodita depilacijska krema hydra 100ml	00011500	Afrodita	0.100	KOM	       4,85		1	L	48,5			MPC 2.5.2025=5,09€	3830001292695	KOZMETIKA
Ajax za staklo window & shiny 750 ml	00011539	Ajax	0.800	KOM	       2,59		1	L	3,453			MPC 2.5.2025=2,59€	8718951048799	SREDSTVA ZA ČIŠĆENJE
Dr.Oetker gustin brzi 150 g	00011552	Dr. Oetker	0.150	KOM	       1,95		1	KG	  13			MPC 2.5.2025=2,19€	5997381358774	HRANA
Svarog Vodka 40% 0,7L	00011554	Svarog	0.670	KOM	      19,99		1	L	28,41			MPC 2.5.2025=18,99€	3850112142795	PIĆE
Dr.Oetker vitalis crunchy dupla čok.300g	00011574	Dr. Oetker	0.300	KOM	       4,19		1	KG	13,97			MPC 2.5.2025=4,19€	4000521010256	HRANA
Palmolive Gel za tuš.men rev.s 250ml_OC	00011576	Palmolive	0.259	KOM	       2,99		1	L	11,96			MPC 2.5.2025=2,69€	8714789703398	KOZMETIKA
Dr.Oetker vitalis crunchy multivoće 300g	00011586	Dr.Oetker	0.300	KOM	       4,19		1	KG	13,97			MPC 2.5.2025=4,19€	4000521010270	HRANA
Dr.Oetker vitalis crunchy med badem 300g	00011588	Dr. Oetker	0.300	KOM	       4,19		1	KG	13,97			MPC 2.5.2025=4,19€	4000521010294	HRANA
Dukat čokoladno mlijeko HDPE 0,5 l	00011598	Dukat	0.528	KOM	       1,35	A	1	L	 2,7	       1,35	1,69	MPC 2.5.2025=1,69€	3850354006879	HRANA
Violeta papirnati ručnik Picnic 3sl. 2/1	00011728	Violeta	0.354	KOM	       1,99		1	KOM	0,995			MPC 2.5.2025=1,99€	3859892288488	PROIZVODI ZA KUĆANSTVO
Pantene šamp.Color Protect Shine400ml	00011813	Pantene	0.400	KOM	       5,99		1	L	14,98			MPC 2.5.2025=5,99€	5410076562794	KOZMETIKA
Head&Shoulders šampon Apple Fresh 400 ml	00011857	Head&Shoulders	0.412	KOM	       6,69		1	L	16,73			MPC 2.5.2025=6,69€	5410076659456	KOZMETIKA
Kotanyi mlinac Chili Jalapeno 24g	00012235	Kotanyi	0.024	KOM	       2,37	A	1.000			       2,37	3,95	MPC 2.5.2025=3,95€	9001414900598	HRANA
Kotanyi Chili papričice cijela vr. 8 g	00012247	Kotanyi	0.008	KOM	       1,29		1.000					MPC 2.5.2025=1,09€	9001414311516	HRANA
Fini-Mini Juha od rajčice i mozzarel.23g	00012306	Fini-Mini	0.023	KOM	       0,59	A	1.000			       0,59	0,79	MPC 2.5.2025=0,79€	3850104260940	HRANA
Zbregov tekući jogurt 2,8%mm 1000g tetra	00012377	´z bregov	1	KOM	       2,39		1.000					MPC 2.5.2025=2,29€	3850108030297	HRANA
Pivac Pečeni but bez kosti cca 1 kg	00012380	Pivac	1	KG	       7,49		1.000					MPC 2.5.2025=5,99€	2852227000000	HRANA
Z bregov kozje trajno mlijeko 2,8%mm 1l	00012382	`Z bregov	1	KOM	       2,39		1.000					MPC 2.5.2025=2,39€	3850108026108	HRANA
Domaća svinjska mast 1/1 Meso-rad_OC	00012442	Meso-rad	1	KOM	       2,19		1.000					MPC 2.5.2025=2,19€	3859891884902	HRANA
Z bregov čvrsto kiselo mlijeko 3,2% 900g	00012450	`Z bregov	0.900	KOM	       2,39		1	KG	2,656			MPC 2.5.2025=2,39€	3850108031812	PIĆE
Fino mi je puding čokolada-šlag 4x125 g	00012465	Fino mi je	0.500	KOM	       1,99		1	KG	3,98			MPC 2.5.2025=1,99€	3850108040180	HRANA
Fino mi je puding vanilija-šlag 4x125 g	00012468	Vindija	0.500	KOM	       1,99		1	KG	3,98			MPC 2.5.2025=1,99€	3850108040081	HRANA
Vodka Keglevich classic 38% 1 l	00012831	Keglevich	1	KOM	      13,02		1.000					MPC 2.5.2025=13,02€	8000440112372	PIĆE
Imbiss Ožujsko svijetlo pivo 5% 0,5l lim	00012865	Ožujsko	0.500	KOM	       1,49		1	L	2,78			MPC 2.5.2025=1,49€	2327	HRANA
Dukat tekući jogurt MAXI 2,8% mm 230 g	00012901	Dukat	0.230	KOM	       0,75		1	KG	3,261			MPC 2.5.2025=0,75€	3850354009177	HRANA
Imbiss ćevapčići	00013053	#	0.028	KOM	       0,25		1.000					MPC 2.5.2025=0,25€	3858881619203	HRANA
Mamba karamele voćne 106 g	00013202	Mamba	0.106	KOM	       1,25		1	KG	11,79			MPC 2.5.2025=1,25€	4014400926279	HRANA
Gligora Žigljen tvrdi sir45% cca2,6 DEL	00013235	Gligora	1	KG	      21,90		1.000					MPC 2.5.2025=21,9€	2800375000000	HRANA
Vindija Bovi blue 100 g	00013258	Vindija	0.100	KOM	       2,25		1	KG	22,5			MPC 2.5.2025=2,25€	3850108052480	HRANA
M&M bomboni čokolada 45 g	00013316	M&M	0.045	KOM	       0,99		1.000					MPC 2.5.2025=1,09€	5900951140303	PIĆE
Frutic Bomboni tvrdi punjeni mix 390g	00013321	Frutic	0.390	KOM	       2,99		1	KG	7,667			MPC 2.5.2025=2,79€	4840095019893	HRANA
Kruškovac Darna Rovinj 1 l	00013484	Darna Rovinj	1	KOM	      11,99		1.000					MPC 2.5.2025=10,99€	3859888361423	PIĆE
PIK Fina šunka narezak 150g	00013488	PIK	0.150	KOM	       2,49	A	1	KG	16,6	       2,49	2,99	MPC 2.5.2025=2,99€	3850139250671	HRANA
PIKO Parizer narezak 200g	00013490	Piko	0.200	KOM	       2,85		1	KG	14,25			MPC 2.5.2025=2,85€	3850139190892	HRANA
Belje Baranjska dimljena slanina 100g	00013492	Belje	0.100	KOM	       3,09		1	KG	30,9			MPC 2.5.2025=3,09€	3850257053253	HRANA
Cuvee Benkovac crno kva. vino 0,75 l	00013495	Cuvee	0.740	KOM	       7,02		1	L	9,227			MPC 2.5.2025=7,02€	3850112170675	PIĆE
KLC.Čips slani 150g	00013502	K- Classic	0.150	KOM	       1,79		1	KG	11,93			MPC 2.5.2025=1,79€	4063367149283	HRANA
KLC.Čips paprika ravni 150g	00013503	K- Classic	0.150	KOM	       1,79		1	KG	11,93			MPC 2.5.2025=1,79€	4063367149252	HRANA
KLC.Čips slanina 150g	00013504	K- Classic	0.150	KOM	       1,79		1	KG	11,93			MPC 2.5.2025=1,79€	4337185476358	HRANA
KLC.Čips sir i luk 150g	00013506	K- Classic	0.150	KOM	       1,79		1	KG	11,93			MPC 2.5.2025=1,79€	4337185476570	HRANA
KLC.Čips chili 150g	00013507	K- Classic	0.150	KOM	       1,79		1	KG	11,93			MPC 2.5.2025=1,79€	4063367227790	HRANA
KLC.Čips slani rebrasti 150g	00013509	K- Classic	0.150	KOM	       1,79		1	KG	11,93			MPC 2.5.2025=1,79€	4063367149276	HRANA
KLC.Čips kis.vrh i luk,rebrasti 150g	00013512	K-Classic	0.150	KOM	       1,79		1	KG	11,93			MPC 2.5.2025=1,79€	4063367149269	HRANA
Naturel šumeće tablete-željezo+C 96g	00013563	Naturel	0.096	KOM	       2,25		1	KG	23,44			MPC 2.5.2025=2,25€	3858887246489	PROIZVODI ZA KUĆANSTVO
Naturel šumeće tablete mult.+min96g	00013564	Naturel	0.096	KOM	       2,45		1	KG	25,52			MPC 2.5.2025=2,45€	3858887246496	PROIZVODI ZA KUĆANSTVO
Hipp 2 Bio Combiotik 600 g	00013588	Hipp	0.600	KOM	      14,69		1	KG	24,48			MPC 2.5.2025=14,69€	4062300398917	HRANA
Hipp 1 Bio Combiotik  600 g	00013589	Hipp	0.600	KOM	      14,65		1	KG	24,42			MPC 2.5.2025=14,65€	4062300398900	HRANA
Naturel namaz od povrća 75 g	00013658	Naturel	0.075	KOM	       1,75		1	KG	23,33			MPC 2.5.2025=1,75€	3858887246243	HRANA
Naturel namaz od povrća s šamp. 75g	00013665	Naturel	0.075	KOM	       1,75		1	KG	23,33			MPC 2.5.2025=1,75€	3858887246236	HRANA
Koleda pužići s jajima 400g	00013769	Koleda	0.400	KOM	       1,12	A	1	KG	 2,8	       1,12	2,25	MPC 2.5.2025=2,25€	3859888433281	HRANA
Koleda makaroni s jajima 400g	00013775	Koleda	0.400	KOM	       1,12	A	1	KG	 2,8	       1,12	2,25	MPC 2.5.2025=2,25€	3859888433267	HRANA
Koleda školjkice s jajima 400	00013778	Koleda	0.400	KOM	       1,12	A	1	KG	 2,8	       1,12	2,25	MPC 2.5.2025=2,25€	3859888433250	HRANA
Koleda svrdla s jajima 400g	00013781	Koleda	0.400	KOM	       1,12	A	1	KG	 2,8	       1,12	2,25	MPC 2.5.2025=2,25€	3859888433274	HRANA
KLC Panirani sir Camem.za peč.sa bru350g	00013852	K- Classic	0.350	KOM	       3,49		1	KG	9,971			MPC 2.5.2025=3,99€	4335896055251	HRANA
KLC.Spatzle 4 jaja 500 g	00013862	K-Classic	0.500	KOM	       2,09		1	KG	4,18			MPC 2.5.2025=1,99€	4337185457043	HRANA
Palmolive tolateni sapun thermal.90g	00013877	Palmolive	0.090	KOM	       1,49		1	KG	16,56			MPC 2.5.2025=1,35€	8693495033176	KOZMETIKA
Dimek dimljeni sir 45% mm cca 1,6 DEL	00013912	Vindija	1	KG	      12,90		1.000					MPC 2.5.2025=11,9€	2800302000000	HRANA
B_Tic Tac bomboni naranča 18g	00014056	Tic Tac	0.018	KOM	       0,79		1.000					MPC 2.5.2025=0,79€	80052333	HRANA
B_Tic Tac bomboni mint 18g	00014057	Tic Tac	0.018	KOM	       0,79		1.000					MPC 2.5.2025=0,79€	80052043	HRANA
Kandit rum pločice mini 182g	00014116	Kandit	0.182	KOM	       3,45		1	KG	18,96			MPC 2.5.2025=3,45€	3858881044135	HRANA
KLC.Flips s kikirikijem 150 g	00014230	K-Classic	0.150	KOM	       0,99		1	KG	 6,6			MPC 2.5.2025=0,99€	4063367360954	HRANA
KLC.Flips sir 125g	00014232	K- Classic	0.125	KOM	       0,99		1	KG	7,92			MPC 2.5.2025=0,99€	4063367147517	HRANA
KLC.Snack Kolutići luk 100g	00014237	K- Classic	0.100	KOM	       0,65		1	KG	 6,5			MPC 2.5.2025=0,85€	4063367147524	HRANA
KLC.Snack potato slani 125g	00014238	K- Classic	0.125	KOM	       1,09		1	KG	8,72			MPC 2.5.2025=1,09€	4063367229879	HRANA
KLC.Snack potato kis.vrhnje i luk 125g	00014239	K- Classic	0.125	KOM	       1,59		1	KG	12,72			MPC 2.5.2025=1,59€	8594042912633	HRANA
Maggi Piletina 4 vrste sira 32 g	00014274	Maggi	0.032	KOM	       1,49		1.000					MPC 2.5.2025=1,29€	7613287119032	HRANA
Gabrieli corn snack 100g	00014296	Gabrieli	0.100	KOM	       0,95		1	KG	 9,5			MPC 2.5.2025=0,95€	3859889085212	HRANA
Podravka goveđa juha sa zvjezdicama 52g	00014450	Podravka	0.052	KOM	       0,89		1	KG	17,12			MPC 2.5.2025=0,89€	3850104251924	HRANA
KLC.čaj.instant.limun.400.g.	00014474	K- Classic	0.400	KOM	       4,49		1	KG	11,23			MPC 2.5.2025=3,49€	4335896117843	HRANA
KLC.čaj.instant.breskva.400.g.	00014498	K- Classic	0.400	KOM	       4,49		1	KG	11,23			MPC 2.5.2025=3,49€	4335896117867	HRANA
KLC.čaj.instant.šumsko.voće.400.g.	00014512	K- Classic	0.400	KOM	       4,49		1	KG	11,23			MPC 2.5.2025=3,49€	4335896117881	HRANA
KLC.Pjenasti poljupci 300 g	00014526	K-Classic	0.300	KOM	       3,39		1	KG	11,3			MPC 2.5.2025=3,45€	4009176339521	HRANA
Naturella Ulošci dnevni Green Tea 52/1	00014571	Naturella	0.063	KOM	       2,39		1	KOM	0,046			MPC 2.5.2025=2,39€	8001090603883	TOALETNE POTREPŠTINE
Naturella Ulošci dnevni Calendula 52/1	00014576	Naturella	0.063	KOM	       2,39		1	KOM	0,046			MPC 2.5.2025=2,39€	8001090603845	TOALETNE POTREPŠTINE
Češnjak domaći 200g	00014614	Češnjak	0.200	KOM	       1,79		1	KG	8,95			MPC 2.5.2025=1,69€	3856017203784	HRANA
KFree.Vrhje za šlag bez laktoze 30%,200g	00014647	K-Free+ laktosefrei	0.200	KOM	       1,39		1	KG	6,95			MPC 2.5.2025=1,39€	4335896414676	HRANA
Tikva Hokkaido	00014667	#	1	KG	       1,29		1.000					MPC 2.5.2025=2,49€	2824567000000	HRANA
Tikva Kabocha	00014676	#	1	KG	       1,19		1.000					MPC 29.7.2025=1,49€	2824568000000	HRANA
Pronto 5 u 1 classic sprej 300 ml	00014803	Pronto	0.300	KOM	       5,75		1	L	19,17			MPC 2.5.2025=5,75€	5000204670967	SREDSTVA ZA ČIŠĆENJE
Pronto 5u1 višenamj. sprej 300 ml	00014811	Pronto	0.300	KOM	       5,59		1	L	18,63			MPC 2.5.2025=5,69€	5000204670905	SREDSTVA ZA ČIŠĆENJE
Kandi čokolada Confettino 100g	00014833	Kandi	0.100	KOM	       1,39		1	KG	13,9			MPC 2.5.2025=1,49€	3858881046801	HRANA
Kandi čokolada lješnjak 80g	00014834	Kandi	0.080	KOM	       1,39		1	KG	17,38			MPC 2.5.2025=1,49€	3858881046665	HRANA
Kandi čokolada Nugasso 90g	00014836	Kandi	0.090	KOM	       1,39		1	KG	15,44			MPC 2.5.2025=1,49€	3858881046726	HRANA
Kandi čokolada mliječna 80g_OC	00014839	Kandi	0.080	KOM	       0,93		1	KG	11,63			MPC 2.5.2025=0,93€	3858881046689	HRANA
Neutrogena losion fast absorbing 300ml	00014847	Neutrogena	0.301	KOM	       9,29		1	L	30,97			MPC 2.5.2025=9,09€	3574661610375	KOZMETIKA
Grah šareni 1,5 kg	00014905	Grah šareni	1.500	KOM	       4,59		1	KG	3,06			MPC 2.5.2025=4,59€	3858889330827	HRANA
Grah bijeli 1,5 kg	00014907	Grah bijeli	1.500	KOM	       4,49		1	KG	2,993			MPC 2.5.2025=4,49€	3858889330834	HRANA
KLC.Cornflakes.1000g	00014976	K-Classic	1	KOM	       3,85		1.000					MPC 2.5.2025=3,85€	4337185879777	HRANA
KLC.Cornflakes 500g_OC	00014980	K-Classic	0.500	KOM	       1,99		1	KG	3,98			MPC 2.5.2025=1,89€	4337185879753	HRANA
KLC.Žitnepahuljicečokoladaijagoda250g	00015035	K-Classic	0.250	KOM	       1,49		1	KG	5,96			MPC 2.5.2025=1,69€	4337185888106	HRANA
KLC.Žitnepahuljicejogurtivišnja250g	00015036	K-Classic	0.250	KOM	       1,49		1	KG	5,96			MPC 2.5.2025=1,69€	4337185888120	HRANA
KLC.Žitnepahuljicechocohapps250g	00015042	K-Classic	0.250	KOM	       1,15		1	KG	 4,6			MPC 2.5.2025=1,25€	4337185879562	HRANA
KLC.Žitne pahuljice s medom 250g	00015043	K-Classic	0.250	KOM	       1,15		1	KG	 4,6			MPC 2.5.2025=1,29€	4337185514210	HRANA
KLC.Pahuljice kukur.med i kikiriki 250g	00015047	K-Classic	0.250	KOM	       1,59		1	KG	6,36			MPC 2.5.2025=1,59€	4337185514203	HRANA
KLC.Žitnepahuljice.cimet250g	00015051	K-Classic	0.250	KOM	       1,15		1	KG	 4,6			MPC 2.5.2025=1,29€	4337185716683	HRANA
KLC.Žitnepahuljiceexotic250g	00015054	K-Classic	0.250	KOM	       1,75		1	KG	   7			MPC 2.5.2025=1,95€	4337185888144	HRANA
Badel pelinkovac gorki liker 31% 0,7 l	00015292	Badel	0.700	KOM	      12,52		1	L	17,74			MPC 2.5.2025=12,52€	3850112110756	PIĆE
Sensodyne repair&prot.white.75ml	00015343	Sensodyne	0.075	KOM	       7,45		1	L	99,33			MPC 2.5.2025=5,95€	5054563103505	KOZMETIKA
Podravka šunka narezak 150 g	00015344	Podravka	0.150	KOM	       1,99		1	KG	13,27			MPC 2.5.2025=1,69€	3858886467731	HRANA
Barcaffe  kava mljevena 175 g	00015473	Barcaffe	0.175	KOM	       4,29		1	KG	24,51			MPC 2.5.2025=4,29€	3838471022699	HRANA
Franck čaj majčina dušica  30 g	00015507	Franck	0.030	KOM	       2,49		1.000					MPC 2.5.2025=2,49€	3858881086777	HRANA
Libresse Ulošci dnevni extra normal 58/1	00015599	Libresse	0.134	KOM	       2,65		1	KOM	0,046			MPC 2.5.2025=2,65€	7322540276855	TOALETNE POTREPŠTINE
Nivea Losion posl.brij. Sens.m. 100ml	00015666	Nivea	0.100	KOM	      10,69		1	L	106,9			MPC 2.5.2025=10,69€	4005808588763	KOZMETIKA
Pantene šampon Aqualight 400 ml	00015668	Pantene	0.400	KOM	       5,99		1	L	14,98			MPC 2.5.2025=5,99€	5410076561223	KOZMETIKA
Pantene šampon Repair&Protect 400 ml	00015671	Pantene	0.400	KOM	       5,99		1	L	14,98			MPC 2.5.2025=5,99€	5410076561834	KOZMETIKA
KLC.Valoviti Pommes 1000 g	00015721	K- Classic	1	KOM	       2,89		1.000					MPC 2.5.2025=2,89€	4337185631825	HRANA
KLC.Valoviti Pommes 2500 g	00015733	K-Classic	2.500	KOM	       6,99		1	KG	2,796			MPC 2.5.2025=6,99€	4337185631856	HRANA
KLC.Krumpirići za prip. u pećnici 1000g	00015736	K- Classic	1	KOM	       3,25		1.000					MPC 2.5.2025=3,25€	4337185631719	HRANA
KLC.Vrhnjezašlag.30%m.m.200g	00015741	K-Classic	0.200	KOM	       1,35		1	KG	6,75			MPC 2.5.2025=1,35€	4337185525513	HRANA
B_Get fresh osvj.maramice citrus 18/1	00015911	Get fresh	0.074	KOM	       0,53		1	KOM	0,029			MPC 2.5.2025=0,53€	3870128003972	TOALETNE POTREPŠTINE
Roquefort Verniere ovčji sir 100g	00015944	Roquefort	0.100	KOM	       2,79		1	KG	27,9			MPC 2.5.2025=2,29€	3492843923009	HRANA
Gildo Rachelli Tiramisu 2x80 g	00015951	Gildo Rachelli	0.160	KOM	       1,29		1	KG	8,063			MPC 2.5.2025=1,29€	8005020008403	HRANA
Svinjsko carsko meso s kosti u komadu	00016224	#	1	KG	       2,99	A	1.000			       2,99	2,99	MPC 2.5.2025=3,29€	2800004000000	HRANA
KLC.Mlij.napitak kakao 1,5%m.m. 500 ml	00016263	K-Classic	0.500	KOM	       1,09		1	L	2,18			MPC 2.5.2025=0,99€	4337185554391	HRANA
Asebon šampon protiv masne prhuti 200 ml	00016289	Asebon	0.200	KOM	       4,85		1	L	24,25			MPC 2.5.2025=6,09€	3856007903328	KOZMETIKA
Asebon šampon protiv suhe prhuti 200 ml	00016290	Asebon	0.206	KOM	       5,39		1	L	26,95			MPC 2.5.2025=6,09€	3856007903335	KOZMETIKA
Neutrogena krema za ruke bez mirisa 75ml	00016296	Neutrogena	0.075	KOM	       4,49		1	L	59,87			MPC 2.5.2025=4,49€	3574660066227	KOZMETIKA
Neutrogena krema za ruke s mirisom 75 ml	00016297	Neutrogena	0.076	KOM	       4,49		1	L	59,87			MPC 2.5.2025=4,49€	3574660258264	KOZMETIKA
KLC.Kruška nektar 1 l	00016417	K- Classic	1	KOM	       1,65		1.000					MPC 2.5.2025=1,65€	4337185486517	PIĆE
KLC.Rajčica juice 100% 1 l brick	00016420	K-Classic	1	KOM	       1,49		1.000					MPC 2.5.2025=1,39€	5901088014901	PIĆE
KLC.Breskva nektar 50% 1 l brick	00016437	K-Classic	1	KOM	       1,65		1.000					MPC 2.5.2025=1,65€	4337185486494	PIĆE
Bajadera 150g	00016469	Kraš	0.150	KOM	       6,29		1	KG	41,93			MPC 2.5.2025=6,29€	3850102007929	HRANA
Griotte 153 g vrećica	00016471	Kraš	0.153	KOM	       4,04	A	1	KG	26,41	       4,04	5,39	MPC 2.5.2025=5,39€	3850102008179	HRANA
Podravka Čaj Naranča cimet 50 g	00016535	Podravka	0.050	KOM	       2,29		1	KG	45,8			MPC 2.5.2025=1,99€	3850104263279	HRANA
Podravka Čaj Malina kupina vanilija 50g	00016536	Podravka	0.050	KOM	       1,99		1	KG	39,8			MPC 2.5.2025=1,95€	3850104263262	HRANA
Griesson Choco Mountain keksi 150g	00016559	Griesson	0.150	KOM	       2,35		1	KG	15,67			MPC 2.5.2025=2,09€	4001518116999	HRANA
Griesson keksi lješ.Choco Mount.150g vg.	00016564	Griesson	0.150	KOM	       2,35		1	KG	15,67			MPC 2.5.2025=2,09€	4001518117033	HRANA
KLC.Jabuka nektar 50% 2 l brick	00016620	K-Classic	2	KOM	       2,35		1	L	1,175			MPC 2.5.2025=2,35€	4300175886192	PIĆE
Garnier Min.Roll on Invisible ž. 50ml	00016825	Garnier	0.050	KOM	       4,99		1	L	99,8			MPC 2.5.2025=4,59€	3600541448179	KOZMETIKA
Garnier Mineral deo sprej Invisible150ml	00016827	Garnier	0.131	KOM	       4,99		1	L	33,27			MPC 2.5.2025=4,99€	3600541253704	KOZMETIKA
Zvijezda margarin s aromom vanilije 250g	00016869	Zvijezda	0.250	KOM	       1,15		1	KG	 4,6			MPC 2.5.2025=1,05€	3856015305534	HRANA
Hobby cat mm govedina 415 g	00016891	Hobby Cat	0.415	KOM	       1,29		1	KG	3,108			MPC 2.5.2025=1,29€	3838964322602	PROIZVODI ZA KUĆANSTVO
Hobby cat mm perad 415 g	00016892	Hobby Cat	0.415	KOM	       1,29		1	KG	3,108			MPC 2.5.2025=1,29€	3838964322619	PROIZVODI ZA KUĆANSTVO
Friskies sm pile&povrće 1,5 kg	00016900	Friskies	1.500	KOM	       6,69		1	KG	4,46			MPC 2.5.2025=6,69€	7613033923586	PROIZVODI ZA KUĆANSTVO
Friskies sm losos&povrće 1,5 kg	00016906	Friskies	1.500	KOM	       6,69		1	KG	4,46			MPC 2.5.2025=6,69€	7613033923562	PROIZVODI ZA KUĆANSTVO
Friskies sm meso.pile&povr. 1,5 kg	00016908	Friskies	1.500	KOM	       6,69		1	KG	4,46			MPC 2.5.2025=6,69€	7613033923005	PROIZVODI ZA KUĆANSTVO
KFav.Belgian Truffles original 200 g	00016982	K-Favourites	0.200	KOM	       3,39		1	KG	16,95			MPC 2.5.2025=3,39€	4063367394959	HRANA
Paprika grill 200 g	00017040	Paprika grill	0.200	KOM	       1,29		1	KG	6,45			MPC 2.5.2025=1,29€	3859892562007	HRANA
B_Bebeto bomboni gumeni breskva 80 g	00017118	Bebeto	0.080	KOM	       0,99		1	KG	12,38			MPC 2.5.2025=0,93€	8690146658412	HRANA
B_Bebeto bomboni gumeni lubenica 80 g	00017121	Bebeto	0.080	KOM	       0,99		1	KG	12,38			MPC 2.5.2025=0,93€	8690146124436	HRANA
Kalodont zubna pasta microgranule 75 ml	00017143	Kalodont	0.075	KOM	       1,25	A	1	L	16,67	       1,25	1,79	MPC 2.5.2025=1,69€	3850105143044	KOZMETIKA
