naziv;šifra;marka;neto kolièina;jedinica mjere;MPC (EUR);cijena za jedinicu mjere (EUR);MPC za vrijeme posebnog oblika prodaje (EUR);Najniža cijena u posljednjih 30 dana (EUR);sidrena cijena na 2.5.2025. (EUR);barkod;kategorija proizvoda
SLAVONSKA NAREZAK DOBRO 80 g;302205;Dobro;0,0800;kg;1,98;24,75;;;1,79;3850133800841;Hrana
NAPOLI NAREZAK DOBRO 80 g;302207;Dobro;0,0800;kg;1,98;24,75;;;1,79;3850133800353;Hrana
MILANO NAREZAK DOBRO 80 g;302209;Dobro;0,0800;kg;1,89;23,63;;;1,89;3850133800315;Hrana
SLANINA NAREZAK  DOBRO 90 g;302212;Dobro;0,0900;kg;3,19;35,44;;;2,89;3850133800827;Hrana
Salama slavonska;302213;Dobro;1,0000;kg;18,97;18,97;;;18,97;3850133812707;Hrana
VOÆNA PLOÈICA HIPP BA.JA.23 g ;302235;Hipp;0,0230;kg;1,14;49,57;;;1,14;4062300446052;Hrana
KAŠICA HIPPIS JAB.MAN.MA.100 g;302241;Hipp;0,1000;kg;1,35;13,50;;;1,35;4062300278585;Hrana
ŽITNA KAŠICA HIPP 200 g;302242;Hipp;0,2000;kg;2,42;12,10;;;2,42;9062300139744;Hrana
RIŽA ZLA.POLJE SMEÐA PAR 800 g;302250;Zlato Polje;0,8000;kg;4,69;5,86;;;4,69;3838700640960;Hrana
WHISKEY JIM BEAM COLA 0,33 L;302322;Jim Beam;0,3300;L;2,59;7,85;;;3,28;5060045581280;Piæa
KAŠICA LINO KRUŠKA BAN.190 g;302506;Lino;0,1900;kg;1,59;8,37;;;1,59;3850104297243;Hrana
KAŠICA LINO MAR.BRE.JAB.190 g;302508;Lino;0,1900;kg;1,59;8,37;;;1,59;3850104287138;Hrana
TJ.ZL.POLJE FIDELINI JAJ.250 g;302522;Zlato Polje;0,2500;kg;1,99;7,96;;;1,99;3838700011432;Hrana
PRALINE KANDIT PEPERMINT 280 g;302524;Kandit;0,2800;kg;3,99;14,25;;;3,99;3858889865343;Hrana
TJ.ZLATO POLJE REZANCI 400 g;302537;Zlato Polje;0,4000;kg;2,79;6,98;;;2,79;3838700013900;Hrana
SP GUMICA ZA BRIS.MRLJA 4/1;302580;Splendid;4,0000;kom;2,79;0,70;;;2,79;9100000814445;Proizvodi za kuæanstvo
SALATA STRIBOR MOZZAREL.170 g;302618;;0,1700;kg;2,69;15,82;;;3,09;3858893250593;Hrana
GAZ.PIÆE PEPSI BEZ ŠEÆERA 2 L ;302659;Pepsi;2,0000;l;;0,93;1,85;1,99;2,05;3830065020364;Piæa
ŠUNKA SCHW.SPAR NAREZAK 100 g;302729;SPAR;0,1000;kg;2,09;20,90;;;2,19;3856021204425;Hrana
PRSA PILEÆA VITAL NAREZ.100 g;302798;SPAR Vital;0,1000;kg;1,79;17,90;;;1,69;3856021204067;Hrana
ŠAMP.FRUCTIS SOS REPAIR 400 ml;302871;Garnier;0,4000;L;4,49;11,23;;;4,39;3600541922846;Kozmetika
SIR BRIE SPAR 180 g;302872;SPAR Qualitätsmarke;0,1800;kg;2,29;12,72;;;2,29;8710671151681;Hrana
BOMBONI GUM.TROLLI BURGER 50 g;302879;Trolli;0,0500;kg;0,86;17,20;;;0,86;4000512008903;Hrana
BOMBONI GUM.TROLLI MOR.S.175 g;302885;Trolli;0,1750;kg;1,45;8,29;;;1,45;4000512364580;Hrana
NEKTAR VINDI VIŠNJA 0,2 L;302897;;0,2000;L;0,69;3,45;;;0,69;3850108074574;Piæa
ŠUNKA PEÈENA 125 g;302906;Pik;0,1250;kg;2,99;23,92;;;2,99;3850139350401;Hrana
Buðola Niko;302936;Niko;1,0000;kg;18,99;18,99;;;19,99;3859892331856;Hrana
JO.GRÈ.TIP TZATZIKI SPAR 400 g;302982;SPAR Qualitätsmarke;0,4000;kg;3,19;7,98;;;3,19;9100000822174;Hrana
MINERALNA VODA JAMNICA 1 L ;302987;Jamnica;1,0000;L;,92;0,92;;;0,92;3858890873054;Piæa
SPAR INTEGRAL.RAŽENI KRUH 250g;303036;SPAR marka kvalitete;0,2500;kg;1,19;4,76;;;1,17;9100000133904;Hrana
ZUB.PASTA AQUAFRESH 125 ml;303050;Aquafresh;0,1250;L;2,99;23,92;;;2,99;5054563199621;Kozmetika
ZUB.PAS.AQUAFRESH MILD 125 ml;303052;Aquafresh;0,1250;L;2,99;23,92;;;2,99;5054563199645;Kozmetika
ZUB.PAS.BIOREPAIR FAST 75 ml;303137;BIOREPAIR;0,0750;L;4,39;58,53;;;4,49;8017331068441;Kozmetika
ÈOKOLADNO JAJE KINDER JOY 60 g;303243;Kinder;0,0600;kg;3,19;53,17;;;3,79;8000500028124;Hrana
JOGURT NP BOROVNICA 3,6% 200 g;303250;SPAR Natur*pur;0,2000;kg;0,99;4,95;;;0,99;9100000819488;Hrana
VINO DAMJANIÆ BORGONJA 0,75 L;303316;;0,7500;L;15,99;21,32;;;15,49;3859893140044;Piæa
VINO PRELAC MALVAZIJA 0,75 L;303317;;0,7500;L;12,99;17,32;;;12,79;3857500021946;Piæa
LIKER AVELLANA LJEŠNJAK 0,7 L;303329;;0,7000;L;12,02;17,17;;;12,02;3859889132312;Piæa
Èokoladna kocka 150 g;303336;;0,1500;kg;1,55;10,33;;;1,55;3859893089749;Hrana
VODA JAMN.SENSATIO.BAZGA 0,5 L;303477;Jamnica;0,5000;L;1,12;2,24;;;1,12;3875000184398;Piæa
VODA JAMN.SENSATIO.BAZGA 1,5 L;303483;Jamnica;1,5000;L;1,69;1,13;;;1,69;3858890873443;Piæa
ÈAJ DETOX DARVITALIS EKO 50 g;303513;Darvitalis;0,0500;kg;4,64;92,80;;;4,64;3858890832501;Piæa
ÈOKOLADA MARS KING SIZE 70 g;303516;Mars;0,0700;kg;1,49;21,29;;;1,49;5900951311215;Hrana
KOBASICA DRNIŠKA 320 g;303524;Dimmes;0,3200;kg;3,99;12,47;;;3,99;3859892362409;Hrana
ÈAJ ZELENI CIMET DARV.EKO 50 g;303539;Darvitalis;0,0500;kg;3,99;79,80;;;3,99;3858890830781;Piæa
KOND.MLIJ.ZASLAÐ.NESTLE 170 g;303589;;0,1700;kg;1,79;10,53;;;1,69;8410100096186;Hrana
MIC.VODA EVELINE 3U1 400 ml;303601;Eveline;0,4000;L;3,39;8,48;;;4,79;5901761919264;Kozmetika
MIC.VODA EVELINE 3U1 400 ml;303603;Eveline;0,4000;L;3,39;8,48;;;4,79;5901761919400;Kozmetika
ULJE ZA PRŽENJE SUN.N.P.0,75 L;303613;Spar Natur pur;0,7500;L;3,79;5,05;;;3,78;9100000820866;Hrana
SRE.TETA VIOLETA STAKLO 750 ml;303692;Teta Violeta;0,7500;L;1,69;2,25;;;1,59;3870128012806;Sredstva za èišæenje
MESNI NAREZAK GAVRILOVIÆ 150 g;303713;Gavrilovic;0,1500;kg;2,19;14,60;;;2,19;3858890203349;Hrana
ŠTRUDLA LIÈKA SIR SLANI 500 g;303735;;0,5000;kg;5,79;11,58;;;5,79;3859892313074;Hrana
TEK.DET.ZA RUB.SPLENDID 1,5 L;303741;Splendid;1,5000;L;3,59;2,39;;;3,59;9100000973685;Sredstva za èišæenje
TEK.DET.ZA RUB.SPLENDID 1,5 L;303742;Splendid;1,5000;L;3,59;2,39;;;3,59;9100000973715;Sredstva za èišæenje
PIL. PRSA U OVITKU VITAL 500 g;303791;SPAR Vital;0,5000;kg;4,30;8,60;;;4,09;3856021204081;Hrana
VOÆNA PLOÈ.HIPP MAL.BAN.23 g;303793;Hipp;0,0230;kg;1,05;45,65;;;1,14;4062300446069;Hrana
PAP.RUÈNIK DESPAR 3SL 3/1 ;303832;Despar;3,0000;kom;2,49;0,83;;;1,99;8001300811862;Proizvodi za kuæanstvo
LIZALICA MALOW 45 g;303893;DUPIN;0,0450;kg;1,99;44,22;;;2,12;5200701001558;Hrana
MED VARŽAK BAGREM 350 g PET;303923;Varzak;0,3500;kg;5,31;15,17;;;5,31;3859888673960;Hrana
Domaæi pršut bez kože;303926;Niko;1,0000;kg;24,99;24,99;;;24,99;3859892331337;Hrana
Peèenica Niko;303938;Niko;1,0000;kg;;18,99;18,99;21,99;22,99;3859892331849;Hrana
VOÆNA PLOÈICA NP.JAB.BAN.25 g;303978;Natur pur;0,0250;kg;0,79;31,60;;;0,74;9100000690322;Hrana
VOÆNA PLOÈ.NP.CRV.VOÆE 25 g;303979;Spar Natur pur;0,0250;kg;0,79;31,60;;;0,74;9100000690346;Hrana
EN.PIÆE RED BULL YELLOW 0,25 L;303984;Red Bull;0,2500;L;1,69;6,76;;;1,69;90415944;Piæa
SLADILO VITAL KSILITOL 300 g;303989;SPAR Vital;0,3000;kg;3,29;10,97;;;4,09;9100000819563;Hrana
Peèena šunka;303992;Gavrilovic;1,0000;kg;13,99;13,99;;;13,99;3858890209631;Hrana
VINO RIZLING CAPISTRANO 1 L;304012;;1,0000;L;3,29;3,29;;;3,29;3858886522171;Piæa
VINO VRANAC MAKEDONSKI 1 L;304013;;1,0000;L;3,29;3,29;;;3,29;3858886522164;Piæa
PRIP.ZA ŠLAG BILJ. HOPL.500 ml;304019;;0,5000;L;2,39;4,78;;;2,39;8000005045169;Hrana
PRIP.ZA ŠLAG BILJ.HOPLA 200 ml;304021;;0,2000;L;1,29;6,45;;;1,29;8000005048504;Hrana
NJOKI KARLA 500 g;304033;;0,5000;kg;2,09;4,18;;;2,09;3858881505643;Hrana
MAJONEZA ZVIJEZDA SALATNA 15 g;304034;Zvijezda;0,0150;kg;0,29;19,33;;;0,26;3856015316660;Hrana
SIR FETA D.O.P.FREE FROM 150 g;304039;SPAR free from;0,1500;kg;2,59;17,27;;;2,59;9100000039367;Hrana
ZUB.PAS.SENSODYNE RAPID 75 ml;304041;Sensodyne;0,0750;L;7,49;99,87;;;5,59;5054563027535;Kozmetika
PIVO 5. ELEMENT IPA 0,5 L;304078;;0,5000;l;2,55;5,10;;;2,68;3859892222956;Piæa
PIVO 5. ELEMENT LELA 0,5 L;304079;;0,5000;l;2,15;4,30;;;2,22;3859892222949;Piæa
PIVO 5. ELEMENT ABA 0,5 L;304080;;0,5000;L;2,15;4,30;;;2,22;3859892222925;Piæa
PIVO HEINEKEN ZERO 0,33 L;304094;Heineken;0,3300;l;1,79;5,42;;;1,68;3830001715156;Piæa
KETCHUP S-BUDGET LJUTI 1 kg;304119;S-BUDGET;1,0000;kg;1,69;1,69;;;1,69;3856021215414;Hrana
CHOCO BANANA ORIGINAL 280 g;304177;Kandit;0,2800;kg;3,89;13,89;;;3,89;3858889865466;Hrana
PJE.FREIX.ICE ROSE 0,75 L;304219;Freixenet;0,7500;l;11,99;15,99;;;11,99;8410036806521;Piæa
KRUH SPAR KUKURUZNI 400 g;304240;SPAR marka kvalitete;0,4000;kg;2,07;5,18;;;2,07;3856021205057;Hrana
KRUH SPAR SA SJEMENK.400 g;304241;SPAR marka kvalitete;0,4000;kg;2,07;5,18;;;2,07;3856021205033;Hrana
KRUH SPAR MIJEŠANI 400 g;304242;SPAR marka kvalitete;0,4000;kg;1,83;4,58;;;1,83;3856021205019;Hrana
ULOŠ.ALWAYS PLAT.NIGHT 12/1;304283;Always;12,0000;kom;2,99;0,25;;;2,99;8001090445070;Toaletne potrepštine
ULOŠ.ALWAYS PLAT.SUPER 14/1;304284;Always;14,0000;kom;3,18;0,23;;;3,18;8001090444998;Toaletne potrepštine
MEDENJACI SPAR MLIJ.ÈOK.500 g;304319;SPAR;0,5000;kg;2,99;5,98;;;2,99;9100000899312;Hrana
ÈOKOLADA MILKA BADEM 300 g;304352;Milka;0,3000;kg;6,79;22,63;;;6,79;7622210744883;Hrana
ÈOK.MILKA GROŽ.LJEŠNJAK 270 g;304353;Milka;0,2700;kg;6,79;25,15;;;6,79;7622210702326;Hrana
BOMBONI NEGRO 800 g;304421;Negro;0,8000;kg;8,69;10,86;;;8,69;8602300217151;Hrana
KAŠICA HIPPIS JAB.KRU.BA.100 g;304433;Hipp;0,1000;kg;1,35;13,50;;;1,35;4062300278530;Hrana
KAŠICA HIPPIS JAB.BRE.100 g;304435;Hipp;0,1000;kg;1,35;13,50;;;1,35;4062300278554;Hrana
KAŠICA HIPPIS JAB.BAN.JA.100 g;304436;Hipp;0,1000;kg;1,35;13,50;;;1,35;4062300278547;Hrana
KAŠICA HIPPIS KRU.BAN.KI.100 g;304437;Hipp;0,1000;kg;1,35;13,50;;;1,35;4062300278578;Hrana
UMAK OD RAJ.DESP.PREMIUM 330 g;304438;Premium;0,3300;kg;;4,52;1,49;1,99;1,99;9100000819341;Hrana
KAŠICA HIPPIS ŽIT.JAB.BA.100 g;304440;Hipp;0,1000;kg;1,35;13,50;;;1,35;4062300278608;Hrana
VOÆNA PLOÈ.HIPP BAN.VIŠ.23 g;304470;Hipp;0,0230;kg;1,05;45,65;;;1,14;4062300362215;Hrana
PERLE CRNOG TARTUFA 50 g;304583;;0,0500;kg;15,99;319,80;;;15,99;3858891980157;Hrana
SKUŠA AQ FILETI MAS.ULJE 105 g;304601;Adriatic Queen;0,0735;kg;3,29;44,76;;;3,29;3850160110074;Hrana
VINO PASSO PERF. ROSSO 0,75 L;304605;;0,7500;L;7,79;10,39;;;7,42;8016608010060;Piæa
PAŠTETA S-BUDGET ÈAJNA 100 g;304612;S-Budget;0,1000;kg;0,69;6,90;;;0,69;3856021204951;Hrana
PAŠTETA S-BUDGET JETRENA 100 g;304625;S-Budget;0,1000;kg;0,69;6,90;;;0,69;3856021204937;Hrana
KREMA HIMALAYA HRANJIVA 150 ml;304650;Himalaya;0,1500;L;2,89;19,27;;;3,05;8901138506384;Kozmetika
KUPKA FELCE A.CLASSIC 650 ml;304671;Felce Azzurra;0,6500;L;3,99;6,14;;;4,19;8001280068003;Kozmetika
ÈOKOLADA TWIX WHITE 46 g;304783;Twix;0,0460;kg;1,09;23,70;;;1,09;5000159556804;Hrana
BRIJAÈ WILKINSON XTREME 1/1;304813;Wilkinson;1,0000;kom;2,19;2,19;;;2,19;4027800110414;Kozmetika
JUHA MAGGI KREM BROKULA 52 g;305086;Maggi;0,0520;kg;1,39;26,73;;;1,39;7613287311412;Hrana
ŠPINAT S-BUDGET 400 g;305106;S-BUDGET;0,4000;kg;0,99;2,48;;;0,99;3856021204746;Hrana
MAHUNA ŽUTA S-BUDGET 400 g;305107;S-BUDGET;0,4000;kg;1,19;2,98;;;1,19;3856021204708;Hrana
MAHUNA ZELENA S-BUDGET 400 g;305109;S-BUDGET;0,4000;kg;1,19;2,98;;;1,19;3856021204722;Hrana
CARSKI MIX S-BUDGET 400 g;305112;S-BUDGET;0,4000;kg;1,39;3,48;;;1,29;3856021204685;Hrana
GRAŠAK S-BUDGET 400 g;305114;S-BUDGET;0,4000;kg;1,05;2,63;;;1,19;3856021204647;Hrana
GRAŠAK MRKVA S-BUDGET 400 g;305115;S-BUDGET;0,4000;kg;1,05;2,63;;;1,19;3856021204661;Hrana
PAPRIÈICE PEPPAD.BLAGE 400 g;305211;Peppadew;0,1650;kg;3,59;21,76;;;3,59;6007788005108;Hrana
BOMBONI SPAR VOÆNI 500 g;305248;SPAR;0,5000;kg;2,29;4,58;;;2,29;3831115312842;Hrana
SALVETE BOŽIÆNE 33x33 cm;305268;;1,0000;kom;1,19;1,19;;;0,99;9001632316010;Proizvodi za kuæanstvo
BRITVICE BEAUTY KISS Ž 8/1;305364;Beauty Kiss;8,0000;kom;2,65;0,33;;;2,65;9100000997629;Kozmetika
BRITVICE BEAUTY KISS M 8/1;305370;Beauty Kiss;8,0000;kom;2,59;0,32;;;2,65;9100000997643;Kozmetika
JUHA ORTOLANA 620g;305375;;0,6200;kg;2,79;4,50;;;2,79;8014190017108;Hrana
DEO SPR.BOROTALCO PURE 150 ml;305426;Borotalco;0,1500;L;3,99;26,60;;;3,50;8002410042818;Kozmetika
KAVA BARCAFFE CLASSIC 400 g;305467;Barcaffe;0,4000;kg;8,99;22,48;;;7,99;3838471032308;Piæa
Bakalar na bijelo;305525;;1,0000;kg;;17,99;17,99;22,99;22,99;;Hrana
PRALINE ADRIA GOLD 180 g;305572;Adria;0,1800;kg;6,29;34,94;;;5,29;3858890262711;Hrana
PREZ.DUREX INTENSE ORGASM 10/1;305671;Durex;10,0000;kom;18,09;1,81;;;16,79;5052197051797;Toaletne potrepštine
CAPPUC.CLASSIC ARABESCA 200  g;305734;Arabesca;0,2000;kg;2,59;12,95;;;2,59;3858886804123;Piæa
CAPPU.VANILIJA ARABESCA 200 g;305735;Arabesca;0,2000;kg;2,59;12,95;;;2,59;3858886804130;Piæa
CAPPUC.ÈOKOLADA ARABESCA 200 g;305736;Arabesca;0,2000;kg;2,59;12,95;;;2,59;3858886804147;Piæa
ÈOKOLADA KINDER DELICE 39 g;305744;Kinder;0,0390;kg;0,99;25,38;;;0,99;8000500267035;Hrana
STRUGAÈ ZA ÈIŠÆENJE STAKLA;305751;;1,0000;kom;5,7;5,70;;;5,7;4008033601467;Proizvodi za kuæanstvo
NAPOLITANKE BALCONI VAN.175 g ;305752;Balconi;0,1750;kg;1,49;8,51;;;1,49;8001585008056;Hrana
ÈOKOLADA MERCI TAMNA 100 g;305771;Merci;0,1000;kg;;19,90;1,99;2,79;2,79;4014400914276;Hrana
ÈOKOL.MERCI KAVA VRHNJE 100 g;305777;Merci;0,1000;kg;;19,90;1,99;2,79;2,79;4014400914269;Hrana
ÈOKOL.MERCI BADEM LJEŠ.100 g;305779;Merci;0,1000;kg;;19,90;1,99;2,79;2,79;4014400914252;Hrana
ŠAMP.H&S TEA TREE 400 ml;305807;Head&Shoulders;0,4000;L;6,19;15,48;;;6,19;8001090496546;Kozmetika
OSVJ.WC DUCK FRESH DISCS 36 ml;305926;Duck;1,0000;kom;4,89;4,89;;;2,65;5000204341508;Sredstva za èišæenje
OSVJ.WC DUCK FRESH DISCS 36 ml;305928;Duck;1,0000;kom;4,89;4,89;;;2,65;3830063512533;Sredstva za èišæenje
OSVJ.WC DUCK FRESH DISCS 36 ml;305947;Duck;1,0000;kom;4,89;4,89;;;2,65;5000204341560;Sredstva za èišæenje
ÈOKOLADA MILKA CIJ.LJEŠ.270 g;305987;Milka;0,2700;kg;3,99;14,78;;;6,79;7622210702555;Hrana
GEL KURKUMA 250 ml;305988;Olival;0,2500;L;3,29;13,16;;;2,99;3859893186080;Kozmetika
GEL DUREX NATURALS 100 ml;305991;Durex;0,1000;L;15,99;159,90;;;14,89;5997321771656;Toaletne potrepštine
VODA ROMERQUEL.LIM.TRAVA 0,5 L;306012;Römerquelle;0,5000;L;1,19;2,38;;;1,12;9031100003807;Piæa
VODA ROMERQUELLE NEGAZIR.0,5 L;306014;Römerquelle;0,5000;L;,99;1,98;;;0,93;90311208;Piæa
EN.NAP.MONSTER FULL THRO.0,5 L;306020;Monster;0,5000;L;1,95;3,90;;;1,95;5060896629490;Piæa
FLIPS PUFULETI CHIO MINIO.75 g;306085;Chio;0,0750;kg;1,49;19,87;;;1,69;9000159732501;Hrana
KAVA NESCAFE DG.C.A.L.3X160g;306216;Nescafe;0,4800;kg;12,99;27,06;;;14,99;7613287337030;Piæa
KEKS CIMETIX BŠ 200 g;306277;Delicia;0,2000;kg;3,39;16,95;;;3,19;3859889106269;Hrana
KEKS KOKOSIX BŠ 175 g;306279;Delicia;0,1750;kg;3,39;19,37;;;3,19;3859889106221;Hrana
SOK NATUREL CIKLA 100% 720 ml;306342;Naturel;0,7200;l;4,09;5,68;;;3,58;3858889362224;Piæa
ENERGET.PIÆE HELL FOCUS 0,25 L;306345;;0,2500;L;1,09;4,36;;;1,09;5999885747733;Piæa
LED.ÈAJ XIXO BRESKVA 0,25 L;306350;;0,2500;L;,79;3,16;;;0,79;5999885747085;Piæa
KAVA LATTE ESPR. S BUDG.250 ml;306354;S-BUDGET;0,2500;L;1,19;4,76;;;1,09;9100000444673;Piæa
OSV.WC BREF WATER OCEAN 2x50 g;306367;Bref;0,1000;kg;3,29;32,90;;;4,95;9000101089769;Sredstva za èišæenje
REFIL GLADE AUTO.MAXI 2X269 ml;306385;Glade;0,5380;L;10,85;20,17;;;12,79;3858889573354;Sredstva za èišæenje
GLADE SPRAY BOŽUR 300 ml;306386;Glade;0,3000;L;3,15;10,50;;;3,79;5000204249408;Sredstva za èišæenje
REFIL GLADE AUT. MAXI 269 ml;306391;Glade;0,2690;L;7,05;26,21;;;8,69;5000204300918;Sredstva za èišæenje
KRUH INTEGRALNI PANCARRE 315 g;306441;Mulino;0,3150;kg;2,29;7,27;;;2,29;8076809571982;Hrana
Šunka suha dalmatinska Pivac;306449;Pivac;1,0000;kg;;18,99;18,99;29,99;29,99;3858890180220;Hrana
SIR KREM VIVIS 100 g;306465;;0,1000;kg;1,29;12,90;;;1,29;3850108058734;Hrana
PRŠUT RUŽA NAREZAK MAP 80 g;306466;Pisinium;0,0800;kg;3,49;43,63;;;3,59;3858884936109;Hrana
PANCETA ISTARSKA MAP 80 g;306467;Pisinium;0,0800;kg;2,79;34,88;;;2,79;3858884931890;Hrana
TRAVA RICA JAK AP DEGENIJA 1 L;306588;;1,0000;L;13,28;13,28;;;13,28;3859889693127;Piæa
LIKER DEGENIJA PELINKOVAC 1 L;306589;;1,0000;L;13,12;13,12;;;13,12;3859889693066;Piæa
RAKIJA VILIJAMOVKA 35% 1 L;306675;Weingut Schloss Fels;1,0000;L;12,49;12,49;;;11,18;9100300151004;Piæa
LIKER MARELICA FELSER 0,5 L;306679;Felser;0,5000;L;6,92;13,84;;;6,92;9100300263332;Piæa
LISTIÆI OKUS GOUDA 180 g;306689;;0,1800;kg;2,39;13,28;;;2,39;5292874000346;Hrana
LISTIÆI OKUS MOZZARELLA 250 g;306691;;0,2500;kg;2,49;9,96;;;2,49;5292874000063;Hrana
RIBAN.PARMEZAN GREEN VIE 100 g;306692;;0,1000;kg;1,65;16,50;;;1,65;5292874000032;Hrana
JELEN GULAŠ 350 g;306696;;0,3500;kg;6,89;19,69;;;6,89;3830034363515;Hrana
SRNA GULAŠ 350 g;306740;;0,3500;kg;8,99;25,69;;;8,99;3830034363522;Hrana
SMOOTHIE HIPPIS JAB.BAN.120 ml;306764;Hipp;0,1200;l;1,39;11,58;;;1,4;4062300325050;Hrana
SMOOTHIE HIPPIS JAB.KRU.120 ml;306765;Hipp;0,1200;l;1,39;11,58;;;1,4;4062300325111;Hrana
KAPARI NATUR PUR 65 g;306780;Natur pur;0,0350;kg;1,59;45,43;;;1,59;9100000823140;Hrana
KOKOSOVA VODA SPAR 1 L;306794;SPAR;1,0000;l;2,89;2,89;;;2,89;8710671154248;Hrana
PAP.RUÈNIK OLALA CAL.A.3SL 2/1;306975;Olala;2,0000;kom;2,99;1,50;;;3,29;3859893213113;Proizvodi za kuæanstvo
PILEÆI PANIRANI ODRESCI 290 g;307031;Cekin;0,2900;kg;4,19;14,45;;;3,99;3850159140792;Hrana
ÈAJ PODRAVKA BOROVNICA 50 g;307050;Podravka;0,0500;kg;2,29;45,80;;;2,05;3856020204884;Piæa
SRED.STAKLO SPLENDID 1 L;307140;Splendid;1,0000;L;1,32;1,32;;;1,32;3856021205095;Sredstva za èišæenje
BOJA EXCELLENCE 9.1;307148;LOREAL;1,0000;kom;8,99;8,99;;;8,49;3600523724918;Kozmetika
BOJA EXCELLENCE 7.1;307149;LOREAL;1,0000;kom;8,99;8,99;;;8,49;3600523724864;Kozmetika
BOJA COLOR NATURALS ZA KOSU 10;307152;Garnier;1,0000;kom;4,99;4,99;;;4,99;3600540335678;Kozmetika
BOJA COLOR NATURALS ZA KO.2.10;307153;Garnier;1,0000;kom;4,99;4,99;;;4,99;3600541343771;Kozmetika
BOJA CASTING CREAM GLOSS 780;307156;LOREAL;1,0000;kom;7,99;7,99;;;6,59;3600523281817;Kozmetika
BOJA CASTING CREAM GLOSS 550;307157;LOREAL;1,0000;kom;7,99;7,99;;;6,59;3600521372784;Kozmetika
KEKS SPAR ŽITARICE GROŽÐ.160 g;307169;SPAR;0,1600;kg;1,19;7,44;;;1,19;3856021205125;Hrana
KEKS SPAR ŽITARICE ÈOKOL.160 g;307171;SPAR;0,1600;kg;1,19;7,44;;;1,19;3856021205149;Hrana
LIKER IL BARONE AMARETTO 0,7 L;307200;Il Barone;0,7000;L;5,62;8,03;;;5,62;9100000109169;Piæa
KRE.NIVEA AW 55+ DNEVNA 50 ml;307309;Nivea;0,0500;L;8,99;179,80;;;7,99;9005800371313;Kozmetika
KRE.NIVEA AW 55+ NOÆNA 50 ml;307311;Nivea;0,0500;L;8,99;179,80;;;7,99;9005800371337;Kozmetika
KRE.NIVEA AW 45+DNEVNA 50 ml;307313;Nivea;0,0500;L;8,99;179,80;;;7,99;9005800290805;Kozmetika
ÈOKOLADA KINDER CAVA 45 g;307358;Kinder;0,0450;kg;;33,11;1,49;2,29;1,89;4008400511528;Hrana
GEL.TU.L´ANGELICA KOKOS 500 ml;307378;L'Angelica;0,5000;L;2,59;5,18;;;2,99;8017331081778;Kozmetika
VINO IL BAR.MOSCATO 0,75 L;307447;Il Barone;0,7500;L;3,74;4,99;;;3,74;9100300000173;Piæa
ORAH KIFLICE S-BUDGET 400 g;307477;S-BUDGET;0,4000;kg;;8,73;3,49;3,99;3,79;3856021205491;Hrana
ÈET.COLGATE MAX WHITE 1+1;307508;Colgate;1,0000;kom;3,79;3,79;;;3,98;8714789490113;Kozmetika
ROYAL MIX BONDUELLE VAPE.400 g;307509;Bonduelle;0,4000;kg;1,99;4,98;;;1,99;3083681063332;Hrana
PAŠTETA S-BUDGET PILEÆA 100 g;307514;S-Budget;0,1000;kg;0,69;6,90;;;0,69;3856021204913;Hrana
PRALINE TOFIFEE DJED BOŽ.250 g;307531;Toffifee;0,2500;kg;4,49;17,96;;;5,59;4014400923162;Hrana
BRUSNICA PREMIUM 620g;307534;Premium;0,6200;kg;6,99;11,27;;;5,97;9100000824550;Hrana
BRAŠNO KOKOS.BIO ENCIAN 250 g;307539;Encian;0,2500;kg;2,99;11,96;;;2,49;3858890103007;Hrana
KOKOS BRAŠNO NATURA 200 g;307540;Marjan Voce;0,2000;kg;1,24;6,20;;;0,93;3859893124525;Hrana
PIVO GARDEN PILSNER 0,33 L;307605;;0,3300;L;;3,42;1,13;1,42;1,42;3859893153174;Piæa
ŽVAKE ORBIT EUCALYPTUS 14 g;307648;Orbit;0,0140;kg;,99;70,71;;;0,99;50173617;Hrana
SALATA KRISTAL S KORIJENOM;307667;;1,0000;kom;1,19;1,19;;;1,29;3859892944575;Hrana
SALATA CRV.KRIST.S KORIJENOM;307669;;1,0000;KOM;1,19;1,19;;;1,29;9120104230019;Hrana
SALATA PUTERICA S KORIJENOM;307670;;1,0000;KOM;1,19;1,19;;;1,29;3859891093885;Hrana
SLADILO VITAL KSILITOL 50X4 g;307676;SPAR Vital;0,2000;kg;2,49;12,45;;;2,99;9100000824192;Hrana
SIR KREM LIGHT VIVIS 100 g;307678;;0,1000;kg;1,49;14,90;;;1,29;3850108058956;Hrana
SIR KREM S VLASCEM VIVIS 100 g;307681;;0,1000;kg;1,29;12,90;;;1,29;3850108058932;Hrana
SIR KREM ŠUNKA VIVIS 100 g;307683;;0,1000;kg;1,29;12,90;;;1,29;3850108058925;Hrana
NAPITAK ALPRO ZOB BADEM 1 L;307706;Alpro;1,0000;l;3,99;3,99;;;3,99;5411188124726;Piæa
MUSLI SPAR HR.MALINA ÈOK.400 g;307742;SPAR;0,4000;kg;4,19;10,48;;;4,19;9100000705972;Hrana
MUSLI SPAR TROSTRUKA ÈOK.500 g;307743;SPAR;0,5000;kg;4,49;8,98;;;4,49;9100000705934;Hrana
MUSLI SPAR MIJEŠANO VOÆE 500 g;307745;SPAR;0,5000;kg;3,99;7,98;;;3,99;9100000705958;Hrana
